country_of_citizenship,continent,region,number_of_active_students,male,female,associate,bachelors,doctorate,flight_training,high_school,language_training,masters,other,other_vocational_school,primary,secondary,ak,al,ar,az,ca,co,ct,dc,de,fl,ga,gu,hi,ia,id,il,in,ks,ky,la,ma,md,me,mi,mn,mo,mp,ms,mt,nc,nd,ne,nh,nj,nm,nv,ny,oh,ok,or,pa,pr,ri,sc,sd,tn,tx,ut,va,vi,vt,wa,wi,wv,wy,month_year,date,active_students,flight_school
CHRISTMAS ISLAND,Australia&Pacific Islands,Oceania,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,june-2021,2021-06-01,NA,NA
COLOMBIA,South America,South America,9878,4736,5142,1090,2332,1356,89,0,2528,1865,428,23,18,149,4,50,30,65,698,105,66,117,44,1759,362,0,4,94,47,354,178,56,59,125,620,119,10,107,108,126,0,45,2,164,2,66,17,415,38,27,1508,106,102,41,204,239,15,54,15,76,626,412,225,0,5,60,56,46,5,june-2021,2021-06-01,NA,NA
COMOROS,Africa,Eastern Africa,4,3,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,june-2021,2021-06-01,NA,NA
CONGO (BRAZZAVILLE),Africa,Central Africa,160,76,84,42,64,8,0,0,16,23,6,0,0,1,0,0,1,0,8,3,1,6,0,2,4,0,0,4,3,2,1,2,0,0,8,8,0,3,7,4,0,0,0,17,0,0,0,8,0,1,17,0,3,1,7,0,0,0,1,0,24,3,3,0,0,3,3,0,2,june-2021,2021-06-01,NA,NA
CONGO (KINSHASA),Africa,Central Africa,1411,767,644,293,755,36,5,0,39,178,32,0,5,68,0,29,18,15,85,10,3,10,3,50,73,0,0,21,9,54,37,59,38,8,45,28,6,30,67,22,0,1,3,42,1,19,3,13,2,7,40,43,12,13,37,0,0,2,22,16,169,63,54,0,1,94,21,12,1,june-2021,2021-06-01,NA,NA
COSTA RICA,North America,Central America,1109,591,518,78,521,213,8,0,39,197,26,3,4,20,1,7,23,12,98,10,7,20,2,115,64,0,2,20,9,29,41,20,7,15,99,16,4,15,17,10,0,5,0,32,0,7,2,18,1,6,95,24,10,11,35,4,5,13,1,21,79,17,27,0,1,9,18,4,1,june-2021,2021-06-01,NA,NA
COTE D'IVOIRE,Africa,Western Africa,1327,665,662,226,662,52,0,0,39,311,19,0,6,12,0,11,66,9,73,8,7,22,1,20,68,0,0,12,5,11,22,10,8,32,37,37,8,14,152,10,0,4,1,26,3,15,2,53,6,0,66,29,49,7,33,0,2,5,2,4,290,31,25,0,0,9,15,5,2,june-2021,2021-06-01,NA,NA
CROATIA,Europe,Southern Europe,465,235,230,22,286,68,0,0,8,63,9,0,0,9,0,5,4,9,53,2,6,6,2,27,4,0,1,5,7,30,16,1,3,4,25,4,3,3,5,9,0,5,0,13,0,6,2,13,1,2,62,11,13,2,28,1,3,3,2,6,30,6,10,0,2,3,3,2,2,june-2021,2021-06-01,NA,NA
CUBA,North America,Caribbean,73,45,28,2,17,25,0,0,1,28,0,0,0,0,0,1,0,0,6,0,0,1,4,11,1,0,0,1,0,1,2,3,0,6,3,0,1,1,0,2,0,2,0,1,0,0,0,0,0,1,3,1,0,0,5,2,0,0,0,1,9,0,0,0,0,0,2,1,1,june-2021,2021-06-01,NA,NA
CURACAO,North America,Caribbean,141,84,57,25,94,0,0,0,1,14,0,0,0,7,0,0,5,0,2,0,0,0,0,45,10,0,0,0,0,0,0,0,1,1,1,2,0,0,0,10,0,0,0,3,0,35,0,1,0,0,11,1,2,0,2,2,0,0,2,1,3,0,0,0,0,0,0,1,0,june-2021,2021-06-01,NA,NA
CYPRUS,Asia,Western Asia,350,216,134,13,188,74,0,0,3,54,12,0,1,5,0,4,1,7,57,1,5,7,0,19,5,0,0,3,1,11,11,1,3,4,38,11,1,3,5,0,0,1,0,6,1,1,1,7,0,0,77,10,2,3,15,0,3,4,0,2,6,0,7,0,0,2,3,1,0,june-2021,2021-06-01,NA,NA
CZECH REPUBLIC,Europe,Eastern Europe,724,346,378,65,377,78,1,0,17,92,19,7,10,58,3,14,1,11,86,19,16,6,3,72,19,0,10,6,4,35,11,5,9,6,38,8,13,22,12,10,0,6,1,20,4,6,10,9,3,3,73,18,5,4,21,0,4,10,3,8,33,3,9,0,5,8,14,3,2,june-2021,2021-06-01,NA,NA
DENMARK,Europe,Northern Europe,670,380,290,36,382,76,0,0,2,121,17,11,1,24,1,10,8,5,110,8,9,5,0,30,20,0,12,10,5,17,8,10,9,9,50,6,10,15,6,12,0,5,0,33,2,5,4,13,3,0,77,10,14,8,14,0,5,11,1,13,31,5,8,0,4,6,6,5,2,june-2021,2021-06-01,NA,NA
DJIBOUTI,Africa,Eastern Africa,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,june-2021,2021-06-01,NA,NA
DOMINICA,North America,Caribbean,601,189,412,20,461,33,1,0,0,64,4,0,0,18,0,4,11,2,8,1,2,3,2,42,5,0,0,5,0,2,3,3,0,142,15,8,1,3,4,2,0,0,0,3,1,0,0,4,0,0,66,6,6,1,6,0,0,0,0,4,220,0,1,10,0,0,4,1,0,june-2021,2021-06-01,NA,NA
DOMINICAN REPUBLIC,North America,Caribbean,1561,880,681,215,784,71,3,0,149,206,35,4,7,87,0,9,8,10,34,7,16,24,3,324,61,0,1,14,13,61,28,20,10,11,129,11,3,55,7,13,0,3,0,32,4,15,6,35,1,0,228,11,23,3,72,47,23,14,2,22,54,42,17,1,11,2,10,11,0,june-2021,2021-06-01,NA,NA
ECUADOR,South America,South America,3004,1624,1380,336,1199,331,27,0,385,543,155,3,2,23,0,17,5,18,189,33,22,39,9,590,69,0,5,50,31,119,101,31,26,47,172,29,5,40,41,45,0,8,4,56,7,14,8,100,17,6,365,46,18,20,85,17,15,24,9,20,156,158,57,0,3,18,25,12,3,june-2021,2021-06-01,NA,NA
EGYPT,Africa,Northern Africa,3292,2444,848,223,1125,1080,18,0,109,601,93,1,5,37,1,26,22,60,337,35,52,29,7,247,73,0,4,140,10,120,89,37,48,50,175,44,5,78,84,54,0,19,3,64,17,24,6,89,24,10,352,128,22,23,173,0,10,10,17,32,218,21,111,0,2,34,32,13,11,june-2021,2021-06-01,NA,NA
EL SALVADOR,North America,Central America,1143,576,567,173,559,55,2,0,112,170,51,2,3,16,0,9,35,6,135,8,3,15,1,133,34,0,1,12,11,39,28,8,14,23,47,20,6,8,20,18,0,4,0,31,0,5,1,11,4,5,75,15,22,4,34,6,5,5,0,7,159,39,60,0,3,6,6,2,0,june-2021,2021-06-01,NA,NA
EQUATORIAL GUINEA,Africa,Central Africa,306,143,163,77,136,2,1,0,53,19,6,0,1,11,0,5,1,3,14,0,0,5,0,8,14,0,0,0,0,0,0,2,0,1,3,4,0,2,3,2,0,0,0,3,0,0,0,1,0,0,8,0,0,1,9,0,0,0,0,0,188,1,14,0,0,12,2,0,0,june-2021,2021-06-01,NA,NA
ERITREA,Africa,Eastern Africa,54,40,14,1,19,17,0,0,1,14,0,0,0,2,0,1,0,0,2,1,2,0,0,10,1,0,0,10,1,1,0,0,0,0,2,2,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,0,0,1,0,1,1,0,0,5,0,4,0,0,0,1,1,0,june-2021,2021-06-01,NA,NA
ESTONIA,Europe,Northern Europe,148,82,66,4,86,21,0,0,2,28,2,0,0,5,3,2,0,3,26,1,1,1,0,9,7,0,1,1,0,5,0,0,0,1,10,1,3,2,1,1,0,2,0,4,0,3,0,2,0,0,17,2,3,2,8,0,0,1,2,7,7,1,2,0,0,3,1,0,2,june-2021,2021-06-01,NA,NA
ETHIOPIA,Africa,Eastern Africa,2382,1208,1174,234,1296,288,0,0,10,443,21,0,2,88,0,7,14,15,123,23,37,30,1,31,67,0,1,177,15,83,59,25,83,5,115,84,7,65,274,45,0,27,4,48,8,33,13,13,10,15,139,92,33,16,99,0,5,25,53,32,117,6,117,0,5,54,12,17,3,june-2021,2021-06-01,NA,NA
FAROE ISLANDS,Europe,Northern Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,june-2021,2021-06-01,NA,NA
FIJI,Australia&Pacific Islands,Melanesia,45,21,24,15,19,7,0,0,0,2,0,0,0,2,0,0,1,0,10,0,1,0,0,6,1,0,3,2,0,2,0,1,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,1,5,0,0,0,1,0,0,0,june-2021,2021-06-01,NA,NA
FINLAND,Europe,Northern Europe,550,269,281,29,323,53,1,0,3,56,19,6,0,60,1,9,3,5,70,10,11,0,1,50,16,0,4,4,5,12,5,2,6,2,37,4,7,10,9,8,0,3,1,10,0,2,7,13,3,5,54,8,7,2,29,0,6,6,3,16,17,15,18,0,13,5,10,5,1,june-2021,2021-06-01,NA,NA
FRANCE,Europe,Western Europe,5754,3270,2484,454,2163,892,31,0,181,1529,315,14,9,166,1,46,40,77,1136,44,84,69,11,425,187,0,31,34,20,246,71,61,41,63,481,60,18,79,38,94,0,37,10,169,4,18,19,95,15,16,977,56,51,37,176,0,31,55,5,36,223,81,77,1,9,38,31,22,8,june-2021,2021-06-01,NA,NA
FRENCH GUIANA,South America,South America,3,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,june-2021,2021-06-01,NA,NA
FRENCH POLYNESIA,Australia&Pacific Islands,Polynesia,12,9,3,0,8,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,june-2021,2021-06-01,NA,NA
GABON,Africa,Central Africa,319,152,167,101,144,8,0,0,24,35,3,0,1,3,0,1,1,0,15,2,2,11,0,7,8,0,0,1,0,6,5,3,1,5,11,19,0,2,8,0,0,0,0,3,0,7,1,2,1,2,23,11,15,3,9,0,0,0,1,6,118,1,5,0,0,1,1,1,0,june-2021,2021-06-01,NA,NA
"GAMBIA, THE",Africa,Western Africa,239,131,108,59,97,23,0,0,1,55,2,0,0,2,0,1,2,3,7,1,3,1,0,5,7,0,0,4,1,10,0,3,4,1,6,4,0,12,36,7,0,3,0,6,1,6,0,4,0,0,18,15,4,3,1,0,1,1,2,0,32,3,5,0,3,10,1,2,0,june-2021,2021-06-01,NA,NA
GAZA STRIP,Asia,Western Asia,107,77,30,9,48,26,0,0,4,17,3,0,0,0,0,2,1,1,9,0,0,3,0,10,3,0,0,1,1,2,4,1,1,1,6,0,0,4,2,2,0,1,0,2,1,2,0,2,0,0,11,5,0,3,1,0,0,0,0,1,5,4,9,0,0,4,1,1,0,june-2021,2021-06-01,NA,NA
GEORGIA,Asia,Western Asia,579,316,263,54,282,81,1,0,14,109,18,1,0,19,0,2,4,4,65,4,13,10,2,20,15,0,0,8,2,16,15,7,3,2,46,6,3,10,14,9,0,5,0,14,1,1,6,16,1,3,134,8,2,6,41,0,2,1,2,3,16,1,21,0,4,3,4,3,1,june-2021,2021-06-01,NA,NA
GERMANY,Europe,Western Europe,5865,3199,2666,368,2588,1206,19,0,71,1016,162,100,14,321,13,111,31,80,930,78,130,44,11,397,172,0,73,82,34,179,100,46,52,52,425,56,45,120,53,112,0,35,14,190,13,36,30,135,34,21,688,107,45,44,213,2,37,78,10,114,232,59,101,0,10,56,86,39,10,june-2021,2021-06-01,NA,NA
GHANA,Africa,Western Africa,3991,2579,1412,142,1086,1093,0,0,8,1532,46,3,3,78,2,57,40,125,114,43,80,53,28,142,98,0,1,47,58,208,102,38,44,50,195,82,21,209,96,136,0,63,16,121,32,23,30,69,52,12,249,356,66,18,162,0,10,25,59,98,207,43,107,0,4,24,44,19,13,june-2021,2021-06-01,NA,NA
GIBRALTAR,Europe,Southern Europe,3,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,june-2021,2021-06-01,NA,NA
GREECE,Europe,Southern Europe,2107,1211,896,62,741,868,2,0,11,366,45,1,3,8,0,10,7,13,245,8,35,35,12,99,53,0,4,9,1,121,36,6,12,14,300,52,6,56,41,19,0,5,2,39,0,3,14,72,5,7,334,43,10,5,105,0,24,12,7,18,102,5,51,0,5,12,26,5,2,june-2021,2021-06-01,NA,NA
GREENLAND,North America,Northern America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,june-2021,2021-06-01,NA,NA
GRENADA,North America,Caribbean,165,84,81,20,101,13,0,0,1,27,2,0,0,1,0,1,0,4,6,1,0,3,0,8,3,0,0,1,0,8,4,2,0,3,2,1,0,2,1,4,0,2,0,2,0,1,0,2,0,0,37,0,0,0,7,1,0,0,0,3,51,1,1,0,0,1,1,1,0,june-2021,2021-06-01,NA,NA
GUADELOUPE,North America,Caribbean,3,2,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,june-2021,2021-06-01,NA,NA
GUATEMALA,North America,Central America,1062,585,477,85,612,90,10,0,34,151,20,4,6,50,1,9,31,15,79,11,11,13,0,126,47,0,5,4,27,45,58,8,10,17,79,6,5,26,14,9,0,4,1,15,1,8,1,11,5,1,60,20,8,3,40,4,6,5,0,15,85,56,37,0,3,7,6,2,2,june-2021,2021-06-01,NA,NA
GUERNSEY,Europe,Northern Europe,6,4,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,june-2021,2021-06-01,NA,NA
GUINEA,Africa,Western Africa,87,64,23,14,44,2,0,0,15,10,0,1,0,1,0,0,1,0,5,0,1,4,0,1,1,0,0,0,0,1,0,1,0,0,8,2,0,0,4,4,0,0,0,4,0,0,0,0,0,0,31,2,0,1,5,0,0,0,0,1,4,1,3,0,0,1,1,0,0,june-2021,2021-06-01,NA,NA
GUINEA-BISSAU,Africa,Western Africa,9,6,3,0,4,0,0,0,1,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,june-2021,2021-06-01,NA,NA
GUYANA,South America,South America,374,149,225,82,182,37,9,0,1,39,12,1,4,7,0,3,0,0,12,0,7,8,2,77,4,0,0,1,7,2,7,3,1,0,6,7,0,3,4,2,0,4,0,4,0,1,0,15,0,0,143,7,3,1,4,0,2,3,1,3,12,2,4,0,3,3,1,2,0,june-2021,2021-06-01,NA,NA
HAITI,North America,Caribbean,1178,706,472,315,498,52,0,0,69,157,21,2,14,50,0,5,82,4,30,2,11,1,1,331,28,0,1,47,12,17,16,11,22,5,61,6,8,15,8,28,0,7,0,23,3,2,1,22,0,0,127,20,13,4,34,29,4,14,2,15,28,17,33,0,3,6,14,5,0,june-2021,2021-06-01,NA,NA
HONDURAS,North America,Central America,2073,977,1096,252,1138,156,5,0,127,327,38,1,4,25,0,16,48,8,76,11,5,29,3,317,105,0,3,21,14,48,52,15,15,120,89,27,1,41,18,59,0,46,1,57,4,10,3,27,5,0,101,38,27,9,53,17,4,19,8,76,266,78,45,0,4,12,15,3,4,june-2021,2021-06-01,NA,NA
HONG KONG,Asia,Eastern Asia,5468,3073,2395,492,2789,600,5,0,47,917,160,8,73,377,0,7,1,74,1652,19,119,32,6,93,141,0,52,21,63,208,97,9,13,11,449,67,7,104,79,45,1,0,5,54,3,5,28,71,2,26,677,76,9,64,214,0,43,4,3,7,115,111,32,0,10,485,49,4,1,june-2021,2021-06-01,NA,NA
HUNGARY,Europe,Eastern Europe,723,346,377,53,343,111,1,0,26,119,25,2,6,37,1,6,5,9,127,8,11,6,2,60,18,0,6,7,8,20,9,3,4,2,46,12,6,15,10,16,0,4,0,16,0,4,4,12,5,10,106,12,9,5,31,1,4,6,2,12,19,6,21,0,4,2,3,7,1,june-2021,2021-06-01,NA,NA
ICELAND,Europe,Northern Europe,354,188,166,17,232,41,0,0,0,55,6,0,0,3,0,5,4,2,46,3,4,8,3,29,19,0,1,1,0,9,10,5,7,5,27,7,0,7,4,3,0,5,3,14,1,3,3,4,1,0,39,7,3,2,8,0,2,7,2,3,13,1,6,0,6,6,5,0,1,june-2021,2021-06-01,NA,NA
INDIA,Asia,Southern Asia,159323,101733,57590,1720,21464,23946,544,1,713,109408,1297,33,15,182,22,1140,840,4293,16616,1560,2348,793,1001,4539,3823,1,20,987,157,9260,4923,1159,12019,518,10626,2730,87,5183,1543,3255,0,397,39,3987,182,513,2405,5006,232,151,16293,5360,964,615,7726,6,403,981,270,755,16346,585,3343,1,52,1639,1295,284,50,june-2021,2021-06-01,NA,NA
INDONESIA,Asia,South-Eastern Asia,6149,3336,2813,651,3596,435,21,0,43,1068,274,5,1,55,3,31,8,67,2031,65,21,50,6,135,109,0,14,55,6,302,202,40,23,12,431,40,4,163,91,41,0,6,7,34,5,11,14,28,7,6,432,59,27,192,138,0,24,17,4,21,232,23,66,0,5,751,83,4,3,june-2021,2021-06-01,NA,NA
IRAN,Asia,Southern Asia,8908,5142,3766,119,391,6873,0,0,50,1387,76,2,0,10,4,98,61,212,1035,126,63,50,47,449,209,0,17,145,30,397,165,109,94,137,446,189,29,318,84,122,0,42,20,230,46,71,51,176,92,92,510,296,137,102,385,1,37,99,18,116,952,124,312,0,14,141,150,43,15,june-2021,2021-06-01,NA,NA
IRAQ,Asia,Western Asia,343,255,88,21,107,132,1,0,7,66,7,0,0,2,0,4,10,6,26,9,8,6,0,14,3,0,0,8,9,10,5,5,8,0,10,5,6,31,5,20,0,1,0,11,1,4,2,1,4,0,13,18,8,6,14,0,0,0,1,3,25,1,11,0,0,6,3,2,0,june-2021,2021-06-01,NA,NA
IRELAND,Europe,Northern Europe,931,579,352,49,485,128,3,0,1,206,28,5,3,23,0,12,5,9,82,11,33,6,1,46,30,0,0,11,8,35,57,18,23,13,78,6,5,17,5,15,0,13,2,33,0,2,6,23,3,1,108,15,12,3,47,0,8,10,6,26,41,3,14,0,5,5,9,8,2,june-2021,2021-06-01,NA,NA
ISLE OF MAN,Europe,Northern Europe,7,5,2,0,5,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,june-2021,2021-06-01,NA,NA
ISRAEL,Asia,Western Asia,2135,1508,627,108,989,325,23,0,65,339,243,7,4,32,0,7,3,18,239,21,29,18,1,202,26,0,2,6,2,73,24,3,3,6,157,44,3,31,14,5,0,2,0,33,0,0,5,52,6,4,868,10,6,16,79,0,8,13,0,9,42,6,12,0,0,12,10,5,0,june-2021,2021-06-01,NA,NA
ITALY,Europe,Southern Europe,5311,3101,2210,352,1930,1277,45,0,181,1041,226,27,7,225,2,25,11,83,805,41,85,71,11,582,107,0,8,36,20,276,88,41,28,37,532,48,24,89,34,92,0,16,3,125,7,23,22,133,13,19,877,75,20,20,178,3,56,36,13,31,177,79,79,0,3,42,54,23,8,june-2021,2021-06-01,NA,NA
JAMAICA,North America,Caribbean,3113,1303,1810,507,1727,282,17,0,2,489,40,5,3,41,2,44,30,10,73,17,49,177,14,640,80,0,1,42,24,48,38,59,14,34,86,79,36,76,33,77,0,50,0,84,15,7,8,92,29,2,461,39,23,13,107,2,19,65,13,51,135,13,54,4,3,5,14,14,8,june-2021,2021-06-01,NA,NA
JAPAN,Asia,Eastern Asia,13520,6783,6737,2570,4959,903,264,0,1488,1562,775,44,72,883,4,47,150,273,4062,68,135,81,11,318,100,8,888,126,40,359,145,143,83,17,657,75,40,154,211,175,8,15,18,120,28,174,48,98,28,111,2023,169,49,300,278,0,50,19,15,60,300,169,72,0,35,720,154,41,48,june-2021,2021-06-01,NA,NA
JERSEY,Europe,Northern Europe,5,5,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,june-2021,2021-06-01,NA,NA
JORDAN,Asia,Western Asia,2516,1845,671,289,686,676,4,0,194,582,73,1,0,11,0,25,12,31,300,16,28,38,9,155,25,0,0,45,8,225,58,23,32,37,102,18,5,113,28,34,0,8,3,56,7,16,16,59,31,3,189,121,25,8,99,0,10,14,7,22,223,32,112,0,2,33,42,7,4,june-2021,2021-06-01,NA,NA
KAZAKHSTAN,Asia,Central Asia,2197,1062,1135,199,696,240,5,0,264,586,102,1,6,98,1,6,16,21,433,43,13,39,4,136,17,0,1,14,5,146,43,7,10,8,227,12,3,29,27,12,0,8,0,20,2,3,12,24,4,5,378,25,11,25,77,0,9,1,3,15,146,14,49,0,4,57,27,3,2,june-2021,2021-06-01,NA,NA
KENYA,Africa,Eastern Africa,4023,2033,1990,811,1778,416,5,0,13,864,58,0,5,73,12,80,29,36,233,27,62,22,23,152,97,0,4,82,17,123,80,137,52,69,212,78,11,123,225,166,0,36,9,119,13,22,25,71,33,6,220,109,112,33,195,4,14,27,7,107,328,24,109,0,18,140,61,28,1,june-2021,2021-06-01,NA,NA
KIRIBATI,Australia&Pacific Islands,Micronesia,12,8,4,2,3,0,0,0,0,5,1,0,1,0,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,june-2021,2021-06-01,NA,NA
KOSOVO,Europe,Southern Europe,210,88,122,57,86,25,0,0,7,29,2,1,0,3,0,0,1,3,20,2,5,1,0,9,6,0,0,43,1,6,4,1,0,2,10,1,2,6,4,2,0,1,0,2,0,0,1,6,0,1,37,1,0,0,7,0,2,0,0,1,14,1,3,0,1,0,2,1,0,june-2021,2021-06-01,NA,NA
KUWAIT,Asia,Western Asia,6073,4804,1269,148,5024,285,4,0,97,365,143,0,0,7,0,356,6,367,1099,412,99,51,4,737,12,0,0,37,31,38,44,102,41,5,167,69,5,115,24,130,0,3,34,65,3,24,1,43,20,0,101,413,183,169,278,0,7,3,2,47,239,11,142,0,2,44,10,260,18,june-2021,2021-06-01,NA,NA
KYRGYZSTAN,Asia,Central Asia,380,209,171,90,118,16,0,0,22,79,43,0,1,11,0,1,1,4,64,4,0,6,2,22,3,0,0,2,1,33,4,1,4,2,14,3,0,4,3,3,0,2,1,3,1,3,1,4,1,1,35,5,1,5,9,0,0,0,0,2,52,1,21,0,2,40,5,3,1,june-2021,2021-06-01,NA,NA
LAOS,Asia,South-Eastern Asia,157,72,85,39,60,4,0,0,20,9,9,0,4,12,0,0,1,0,46,1,1,0,0,4,1,0,0,3,1,6,0,1,1,0,2,1,3,2,20,0,0,0,0,3,0,0,0,0,0,1,1,0,2,4,0,0,0,1,0,8,16,7,8,0,0,7,4,1,0,june-2021,2021-06-01,NA,NA
LATVIA,Europe,Northern Europe,269,128,141,17,151,32,0,0,4,42,7,2,0,14,6,5,3,4,35,4,4,5,1,32,8,0,0,1,0,6,3,1,4,0,12,5,5,3,5,5,0,0,0,10,1,2,0,8,1,1,21,6,5,1,10,0,1,4,2,4,18,0,7,0,2,4,3,1,0,june-2021,2021-06-01,NA,NA
LEBANON,Asia,Western Asia,1498,994,504,127,416,462,0,0,21,432,31,2,0,7,0,5,2,24,175,10,13,19,3,96,50,0,0,16,2,72,38,13,7,8,157,11,3,118,16,11,0,4,2,22,2,1,6,31,3,10,173,48,11,10,69,0,4,22,2,10,116,6,44,0,6,17,9,1,0,june-2021,2021-06-01,NA,NA
LESOTHO,Africa,Southern Africa,58,35,23,3,35,9,0,0,0,11,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,1,8,1,2,3,0,1,0,5,1,0,1,4,4,0,0,0,5,0,0,1,0,0,0,3,2,3,1,0,0,1,0,0,0,1,0,2,0,1,2,0,0,0,june-2021,2021-06-01,NA,NA
LIBERIA,Africa,Western Africa,263,146,117,39,120,20,0,0,1,61,3,0,2,17,0,0,0,4,8,0,6,2,7,7,6,0,1,5,2,17,4,2,5,2,14,14,0,5,25,5,0,2,0,14,3,2,0,8,0,0,16,5,2,0,27,0,2,5,3,5,8,2,10,0,0,1,3,4,0,june-2021,2021-06-01,NA,NA
LIBYA,Africa,Northern Africa,724,571,153,47,88,350,0,0,79,111,48,0,1,0,0,4,5,14,67,90,7,7,0,43,13,0,0,5,8,40,12,4,2,8,25,2,1,38,8,22,0,3,1,10,3,0,0,15,10,0,36,66,8,19,13,0,0,4,5,5,41,1,15,0,1,24,2,13,4,june-2021,2021-06-01,NA,NA
LIECHTENSTEIN,Europe,Western Europe,2,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,june-2021,2021-06-01,NA,NA
LITHUANIA,Europe,Northern Europe,360,197,163,27,184,39,0,0,5,54,13,2,0,36,0,1,3,8,43,5,15,0,0,31,9,0,1,5,1,22,4,6,1,3,26,7,3,7,4,2,0,0,0,15,0,2,1,7,1,1,42,6,6,0,16,0,1,6,0,3,16,2,11,0,2,8,2,5,0,june-2021,2021-06-01,NA,NA
LUXEMBOURG,Europe,Western Europe,68,36,32,1,31,9,0,0,0,20,6,0,0,1,0,0,0,1,13,1,1,0,0,5,4,0,0,0,0,3,2,0,0,0,4,1,1,1,0,1,0,0,1,4,0,0,0,0,0,0,10,9,0,0,1,0,0,1,0,1,2,0,1,0,0,0,0,0,0,june-2021,2021-06-01,NA,NA
MACAU,Asia,Eastern Asia,376,208,168,34,205,33,0,0,2,64,11,0,1,26,0,3,0,7,138,0,3,2,1,3,9,0,4,0,1,11,6,3,1,0,38,2,1,5,2,2,1,0,1,3,0,2,1,2,0,7,41,12,2,1,12,0,3,0,0,0,6,0,5,0,0,31,4,0,0,june-2021,2021-06-01,NA,NA
