country_of_citizenship,continent,region,number_of_active_students,male,female,associate,bachelors,doctorate,flight_training,high_school,language_training,masters,other,other_vocational_school,primary,secondary,ak,al,ar,az,ca,co,ct,dc,de,fl,ga,gu,hi,ia,id,il,in,ks,ky,la,ma,md,me,mi,mn,mo,mp,ms,mt,nc,nd,ne,nh,nj,nm,nv,ny,oh,ok,or,pa,pr,ri,sc,sd,tn,tx,ut,va,vi,vt,wa,wi,wv,wy,month_year,date,active_students,flight_school
BULGARIA,Europe,Eastern Europe,1469,656,813,167,490,298,2,0,126,296,53,15,3,19,0,5,4,6,150,11,33,22,12,58,22,0,6,7,2,178,16,6,7,12,164,33,12,19,11,23,0,1,0,45,2,3,8,62,2,11,189,25,9,6,83,0,10,23,0,8,60,10,56,0,3,20,8,3,3,april-2014,2014-04-01,NA,NA
BURKINA FASO,Africa,Western Africa,979,670,309,255,252,36,0,0,326,92,11,1,0,6,0,4,14,3,23,1,2,28,7,29,73,0,2,5,1,10,3,7,3,4,29,34,1,5,48,3,0,0,4,2,2,46,2,42,1,4,252,29,8,4,30,0,0,0,2,3,129,6,23,0,1,11,30,8,1,april-2014,2014-04-01,NA,NA
BURMA,Asia,South-Eastern Asia,1139,586,553,186,692,67,0,0,44,108,36,0,2,4,0,5,5,11,248,8,14,10,1,35,11,0,5,27,3,39,18,5,12,2,113,14,3,21,26,23,0,2,3,4,4,3,9,14,1,3,168,29,8,19,66,0,14,4,3,2,34,1,31,1,3,22,29,0,3,april-2014,2014-04-01,NA,NA
BURUNDI,Africa,Eastern Africa,174,90,84,32,95,3,0,0,11,23,2,0,1,7,0,0,1,7,10,0,1,0,0,2,7,0,1,5,2,2,3,0,3,2,8,4,1,0,31,3,0,0,0,4,1,2,0,3,2,0,8,2,14,1,13,0,0,0,0,0,14,2,5,0,1,2,7,0,0,april-2014,2014-04-01,NA,NA
CAMBODIA,Asia,South-Eastern Asia,557,325,232,190,169,18,2,0,59,61,24,2,8,24,0,1,0,4,179,7,6,1,0,14,6,0,4,21,2,9,6,0,10,5,50,4,1,2,12,2,0,0,2,6,1,0,2,3,1,0,33,10,2,10,21,0,7,1,0,2,36,3,11,0,2,58,0,0,0,april-2014,2014-04-01,NA,NA
CAMEROON,Africa,Central Africa,1557,814,742,351,614,180,0,0,57,280,46,2,2,25,1,25,30,9,67,9,4,32,6,45,54,0,5,20,4,42,7,19,16,74,62,98,3,34,74,15,0,14,1,30,18,10,2,29,26,5,87,42,101,5,41,0,5,10,6,28,251,11,31,0,1,15,20,8,5,april-2014,2014-04-01,NA,NA
CANADA,North America,Northern America,30514,15328,15178,1811,13763,5266,44,15,64,4963,2689,484,123,1292,72,175,61,400,3611,195,629,306,32,1183,363,0,137,288,252,1148,373,129,176,162,2537,350,375,2251,482,370,0,85,187,502,518,82,264,566,96,73,5978,549,243,410,1312,28,287,191,46,287,893,328,416,0,205,440,279,137,55,april-2014,2014-04-01,NA,NA
CAPE VERDE,Africa,Western Africa,86,45,41,29,30,0,2,0,6,19,0,0,0,0,0,0,0,0,1,0,1,0,0,7,0,0,0,0,0,1,0,0,0,0,50,1,0,4,0,0,0,0,0,0,0,0,1,2,0,0,3,8,1,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,1,april-2014,2014-04-01,NA,NA
CAYMAN ISLANDS,North America,Caribbean,240,107,133,11,183,1,3,0,0,15,0,1,2,24,0,11,0,0,14,2,1,0,0,116,24,0,0,0,0,1,1,0,1,0,4,1,0,10,0,2,0,1,0,6,0,1,0,0,0,0,3,5,0,0,6,0,9,1,0,7,7,2,1,0,3,0,0,0,0,april-2014,2014-04-01,NA,NA
"CENTRAL AFRIChN
  REPUBLIC",Africa,Central Africa,23,14,9,5,9,0,0,0,6,2,0,0,0,1,0,0,0,0,1,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,3,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,april-2014,2014-04-01,NA,NA
CHAD,Africa,Central Africa,80,52,28,8,33,2,1,0,16,17,2,0,0,1,0,2,1,0,0,1,0,4,0,3,1,0,0,0,1,0,0,0,0,1,3,6,0,4,1,1,0,0,1,0,0,1,0,2,0,0,10,2,2,2,1,0,2,4,0,1,22,0,1,0,0,0,0,0,0,april-2014,2014-04-01,NA,NA
CHILE,South America,South America,2280,1414,865,104,418,364,15,0,644,531,128,11,9,56,0,24,9,24,408,19,19,27,13,133,40,4,32,15,11,106,27,9,17,8,255,32,7,27,14,49,0,11,5,42,3,1,5,14,5,10,359,26,16,23,80,6,12,33,2,18,87,73,26,0,4,33,44,5,8,april-2014,2014-04-01,NA,NA
CHINA,Asia,China,290133,149224,140809,12029,101745,43384,1921,5,9558,88321,7121,138,892,25019,42,2612,1251,5731,48204,2955,3833,2823,1917,8190,5424,16,397,4873,441,13859,10195,2985,1520,1637,17261,4991,928,10756,4380,5934,164,542,234,4351,609,1632,1374,6762,559,723,33011,13403,2340,5427,15886,26,1964,1652,228,1743,12546,2357,4869,0,598,8658,4590,509,221,april-2014,2014-04-01,NA,NA
